id,Avg_Wind_Speed,Precipitation_Amount,Max_Temperature,Min_Temperature,Humidity,Transmission_mode,Duration
277,3.5,4,12.7,6.6,14.44008871,Insect-borne,9
278,5.63,1.8,14.7,8.8,17.85057083,Waterborne,11
279,12.96,3,15,11,18.72831993,Waterborne,12
280,6.87,0.6,14.6,4.3,16.42891834,Soil-borne,10
281,10.17,1.6,15.1,6.4,16.39055394,Insect-borne,10
282,9.04,1.7,17.5,7.8,14.76014523,Seed-borne,11
283,11.75,0.9,16.6,10.4,17.44534641,Insect-borne,7
284,12.71,0.1,14.3,9,18.09665739,Waterborne,12
285,5.58,0,15.5,2,16.06240074,Seed-borne,10
286,9.92,0,17.8,5.7,14.82633099,Seed-borne,12
287,2.96,0,15.6,8.8,16.80472243,Waterborne,10
288,9,0,13.8,2.5,18.02235902,Airborne,12
289,14.58,2.2,12.2,6.5,16.41998269,Seed-borne,12
290,22.17,0,12.6,8.8,14.74071856,Waterborne,12
291,21.84,0,12.3,6,19.83643308,Insect-borne,10
292,13.21,1.1,9.6,5.7,15.9362937,Waterborne,12
293,12.08,0,10.7,2.5,15.57324389,Seed-borne,10
294,7.5,0.3,13.7,5,17.60756635,Seed-borne,12
295,17.58,16.7,12.6,8.4,15.27824066,Soil-borne,9
296,16.21,6.6,14.5,6,18.75626255,Insect-borne,10
297,17.96,5.6,11.5,8.2,14.33847406,Insect-borne,14
298,18.34,0.2,11.1,3.2,19.76182946,Soil-borne,12
299,9.79,0,13.3,7.4,14.77959596,Insect-borne,10
300,7.79,1.6,11.6,4.5,15.36143547,Seed-borne,7
301,9.75,0,11.7,3.7,20.59541693,Insect-borne,8
302,9.42,0,10.4,1.5,18.90705639,Seed-borne,9
303,14.88,0,12.5,5,21.33953114,Seed-borne,10
304,15.25,0.5,15.4,8.3,24.24045875,Soil-borne,11
305,13.08,0.3,15.4,7.7,23.02251117,Waterborne,7
306,15.83,0.5,11.7,8,18.77621951,Soil-borne,7
307,11.21,0,8.2,2.2,20.31564139,Insect-borne,10
308,8.5,0,10.6,1.3,23.3334788,Soil-borne,10
309,10.79,0.4,13,3,23.42829938,Seed-borne,10
310,8.21,0,11.3,6.6,23.20591245,Soil-borne,7
311,9.29,4.1,13.2,6.6,18.28173015,Seed-borne,12
312,6.58,0,10,2.3,19.87070659,Seed-borne,12
313,8.21,0,9.5,-1,18.67170854,Soil-borne,12
314,7.71,0.3,6.1,-1.6,21.17919701,Insect-borne,12
315,12.12,0,8.6,-1.6,18.72479695,Seed-borne,10
316,13.04,0,10.5,0.8,24.36314135,Waterborne,12
317,21.87,0,10.5,3.2,20.39659714,Waterborne,13
318,15.71,0,9.4,8,21.21092266,Waterborne,11
319,6,0,8.7,6.7,19.63438599,Waterborne,11
320,2.29,0.5,8.3,6.1,22.42610972,Airborne,11
321,3.13,0.4,9.6,6,23.10538637,Insect-borne,12
322,9.29,0,9.6,6.1,18.29318436,Soil-borne,9
323,9.33,0,9.4,8.4,21.07643273,Seed-borne,12
324,13.04,0,9.5,8.4,18.8251973,Seed-borne,7
325,7,17.8,10.2,1.1,21.47324158,Seed-borne,12
326,9.17,0.7,12.3,1.6,23.2353604,Insect-borne,9
327,15.41,0,8.7,2.4,19.2303162,Insect-borne,15
328,16.17,0.9,10,3.3,19.17651433,Seed-borne,7
329,11.83,0,7.7,2.8,18.15302753,Seed-borne,10
330,6.34,8.6,8.1,-0.4,23.61670065,Soil-borne,12
331,5.83,1.2,6.8,0,20.81527638,Airborne,12
332,12.79,0.9,8.3,1.7,24.54038287,Waterborne,12
333,15.29,12.5,12.6,3.5,20.31871249,Insect-borne,10
334,16.5,5.8,13.1,6.6,24.45202552,Insect-borne,11
335,7.25,0,5.5,4.6,18.37477907,Waterborne,7
336,12.21,3,7.2,0.3,21.59396123,Waterborne,10
337,7.67,3.2,7.4,-3.2,24.87304788,Insect-borne,9
338,13.79,8.4,13.1,-2.2,18.09224048,Insect-borne,11
339,17.83,0.1,5,0.7,21.14544088,Soil-borne,12
340,12.62,0,3.3,-0.4,19.68751084,Seed-borne,12
341,8.87,4.5,5.5,-5.4,19.7520218,Soil-borne,10
342,19.83,4.2,11.5,-5,24.84207559,Waterborne,12
343,10.04,3.4,13.3,5.1,24.25386207,Waterborne,9
344,18.84,4.6,14,5.1,23.75560241,Seed-borne,11
345,25.62,0.4,11.8,9.5,20.70099804,Waterborne,10
346,16.83,3.3,13.4,9.1,18.93146941,Seed-borne,12
347,16.66,0.2,13.5,7.8,23.22197648,Soil-borne,12
348,9.38,0.1,12.7,-1.1,21.0278674,Soil-borne,12
349,10.71,0,13.2,-0.5,24.96969858,Seed-borne,11
350,6.92,0,11.2,7.8,18.57086554,Seed-borne,11
351,9.54,0,9,4.8,24.92607153,Seed-borne,11
352,4.79,0,4.4,-2.7,19.90790546,Waterborne,10
353,3.54,0,2.1,-5,24.96881755,Seed-borne,14
354,3.63,0,6.1,-5.5,22.89464642,Waterborne,10
355,4.33,0,6.2,-5,20.4555596,Seed-borne,10
356,13.59,0,6.8,-1.6,19.38602098,Waterborne,12
357,18.12,0,5,3.8,22.3104551,Insect-borne,12
358,8.5,0,2.6,-0.5,21.98879437,Insect-borne,9
359,11.92,0,5,-2.7,19.37703396,Insect-borne,11
360,17.12,0,5,0.7,20.51346956,Soil-borne,10
361,2.92,0,3.3,-3.2,24.03553105,Seed-borne,10
362,8.96,0,3.8,-5.2,22.89845607,Insect-borne,10
363,15,0,3,-5,22.7182355,Insect-borne,10
364,17.29,0,1.7,0.1,18.22590825,Insect-borne,10
365,10.04,1.3,1.5,-11,24.91506728,Waterborne,12
366,10.41,0,1.2,-10.7,21.27833035,Insect-borne,7
367,8.46,0,-0.1,-7.8,22.77255917,Insect-borne,12
368,4.58,0,1.8,-8.1,18.97267518,Seed-borne,12
369,5.5,0,6,-3.8,22.27512704,Seed-borne,10
370,15.29,1.8,9.1,-2.3,24.35679348,Seed-borne,11
371,8.46,2.1,11.6,4.6,19.60379304,Seed-borne,12
372,14.29,0,8.8,4.5,20.18238348,Seed-borne,12
373,17.71,6.8,10.8,6.2,23.02410338,Waterborne,7
374,15.29,0,6.2,3.1,18.86880997,Seed-borne,11
375,14.29,4.2,12.5,1.7,24.13995025,Waterborne,11
376,25.96,0.7,7.6,2.4,21.35793891,Soil-borne,11
377,23.54,0.1,7.6,3.2,24.90814655,Insect-borne,10
378,19.7,0,5.5,0,21.43780702,Insect-borne,10
379,12.42,0.1,8.6,0.5,23.77201471,Waterborne,11
380,20.38,7.8,11.5,0.8,18.48522915,Waterborne,12
381,19.75,2.7,8.1,2.6,20.74619325,Seed-borne,11
382,22.79,1,8.6,2.8,22.74378977,Soil-borne,12
383,12.46,0,8.3,1.1,20.57940608,Waterborne,10
384,16.08,1.1,9.8,2.2,22.91244883,Waterborne,14
385,10.29,1.1,11.1,4.2,19.27907819,Seed-borne,10
386,17.29,2.4,8.8,5.5,18.18325169,Waterborne,9
387,23.25,0,6.2,1.8,24.93896255,Waterborne,11
388,12.71,2.6,11.2,2.3,20.01730914,Insect-borne,10
389,17.25,1,11.7,3.3,24.75485098,Seed-borne,12
390,18.29,0,11.3,7.2,23.96362799,Seed-borne,7
391,7.41,0.9,8.7,7,22.33195853,Soil-borne,11
392,5.17,0,7.7,4.6,20.83398341,Seed-borne,12
393,3.63,0,8.2,5.6,21.79992115,Airborne,11
394,2.17,0,10.2,5.5,24.67385131,Insect-borne,11
395,13.33,0.3,11.1,1.1,24.32991649,Seed-borne,11
396,22.42,2,12.2,6.1,23.22323766,Seed-borne,10
397,15.71,0.3,7.4,1.6,21.90539577,Seed-borne,9
398,13.17,0.8,10,2.1,24.89487354,Insect-borne,13
399,15.96,0,10.7,3.6,21.1893007,Waterborne,12
400,18.88,4,10.2,3.8,20.24768314,Waterborne,11
401,15.75,0,10.7,3.3,57.92887167,Insect-borne,10
402,18.75,2.6,11.6,3.8,62.73178224,Soil-borne,10
403,25,1.1,8.5,5.5,59.38967583,Airborne,13
404,8.21,0.1,10,1.7,43.35795962,Waterborne,10
405,12.08,0,11.2,1.7,55.46985938,Waterborne,12
406,14.96,1.1,10.5,6.8,42.35249879,Insect-borne,12
407,24.41,0.4,12.4,1.7,45.03186173,Waterborne,11
408,29.54,0.7,12.5,4.4,38.23184742,Waterborne,9
409,15.79,2.7,6.1,2,63.47742011,Seed-borne,12
410,11.71,0,6.8,-1.1,67.38680755,Soil-borne,10
411,23.45,2.9,10.7,0.1,68.75810535,Insect-borne,12
412,28.84,0,8.8,6.3,40.03262418,Insect-borne,10
413,14.12,0,10.5,3.1,49.47225353,Insect-borne,10
414,8.29,0,9.8,3.8,56.67369054,Insect-borne,10
415,7.92,0,10.8,6.2,57.23265151,Seed-borne,10
416,1.46,0,10.6,4.8,34.13737127,Insect-borne,10
417,7.04,0,9.5,6.1,38.80023714,Seed-borne,11
418,15.29,0,6.6,2.7,34.69776639,Soil-borne,11
419,20.21,0,4,3.2,37.73992903,Seed-borne,7
420,18.12,0,5.7,2.2,40.1242747,Airborne,7
421,22.63,0.4,4.6,2.3,55.96805489,Insect-borne,12
422,25.62,5.4,2.7,-1,50.12323801,Soil-borne,12
423,26.87,0,3.5,-1,47.19188279,Waterborne,11
424,13.88,5.5,3.6,-0.5,50.54621094,Seed-borne,13
425,7.96,1.1,3.5,0,38.40975482,Waterborne,7
426,9.59,0.5,5.5,0.1,45.3733757,Soil-borne,10
427,6.71,5,1,-6,49.4421345,Soil-borne,10
428,5.33,0,3.3,-7.4,34.13307843,Soil-borne,10
429,5.79,0,6.1,-6.2,35.42910045,Soil-borne,9
430,8,0,6.1,-6.6,46.68746847,Seed-borne,11
431,29.58,2.7,5.5,-1.2,41.69617915,Waterborne,12
432,18,13.9,6.2,1.2,57.97429171,Seed-borne,10
433,9,6,9.2,2.7,67.07780816,Soil-borne,11
434,3.83,7.7,8.3,5.8,46.48714759,Seed-borne,12
435,10.92,2.7,5.5,4.5,39.04468913,Insect-borne,10
436,7.71,0,6.1,3.1,34.51086611,Soil-borne,10
437,6.83,0,5.7,-2.7,37.57792132,Insect-borne,11
438,4,0,5.4,-3.8,32.24914235,Airborne,10
439,16.54,3,5.6,0.2,36.82639309,Insect-borne,7
440,12.58,0,6.1,1.7,30.98685456,Seed-borne,7
441,7.71,0,7.2,3.5,30.40046769,Seed-borne,7
442,5.79,0,11.6,-4.2,35.72032498,Insect-borne,12
443,9.04,0,6.7,-0.5,47.52980027,Seed-borne,11
444,7.67,0,9.4,-1.6,52.10010827,Waterborne,11
