id,avg wind_speed,Precipitation_Amount_(rain),Max_temperature,Min_temperature,humidity,Transmission_mode,Duration
216,13.54,0,20.6,13.4,19.18197264,Insect-borne,9
217,10.54,0,19.5,7.6,19.8601304,Insect-borne,9
218,7.87,0.1,18.3,13.1,16.39535215,Insect-borne,9
219,3.88,15,14.4,6.1,15.7559405,Insect-borne,9
220,10.63,1.1,19,10,14.32313811,Insect-borne,9
221,11.25,1.9,18.3,10.4,16.14565756,Insect-borne,9
222,4.67,1.2,16.6,9,15.11279612,Insect-borne,9
223,6.83,0.2,16.6,8.8,14.99927489,Insect-borne,9
224,6.83,0.8,19.1,5.6,18.43475844,Insect-borne,9
225,10.92,0.1,18.4,11.2,19.22008229,Insect-borne,9
226,15.09,0.4,18.8,11.6,14.42457525,Insect-borne,9
227,9.42,0.3,18.3,12.2,16.67921616,Insect-borne,9
228,12.96,0,19,11.1,18.66725565,Insect-borne,9
229,10.21,0.4,21.7,11.2,17.0662427,Insect-borne,9
230,19.04,0.8,17,12.5,17.93253975,Insect-borne,9
231,13.21,0.3,15.6,12,14.25803981,Insect-borne,9
232,12.58,9.5,21,11.3,15.82069268,Insect-borne,9
233,19,0.2,17.3,13,19.44225438,Insect-borne,9
234,12.08,0,17.2,10.5,19.09172907,Insect-borne,9
235,8.17,5,21.6,11.6,16.1074793,Insect-borne,9
236,5.66,0,18,6.4,16.54314829,Insect-borne,9
237,10.92,1.8,19.4,12.8,17.58406365,Insect-borne,9
238,9.79,1.1,18.2,8.6,16.17772668,Insect-borne,9
239,12.12,0,21.7,12.1,19.68538502,Insect-borne,9
240,9.08,0,24.6,12.6,15.21618225,Insect-borne,9
241,14.12,0,22.7,17.8,17.80852431,Insect-borne,9
242,4.58,0,20,9.4,16.89574311,Insect-borne,9
243,2.92,0.1,21.1,5,16.63805158,Insect-borne,9
244,4.63,0.1,21,11.1,17.30457712,Insect-borne,9
245,3.83,0.1,20.5,12.3,15.77458129,Insect-borne,9
246,5.88,0,16.1,13.7,14.27327988,Insect-borne,9
247,1.25,0,18.3,14.4,18.23490739,Insect-borne,9
248,9.38,0.2,15.6,10.6,14.92241479,Insect-borne,9
249,14.09,3.4,16.6,9.6,17.26184541,Insect-borne,9
250,7.87,0,15.8,6.7,16.96070581,Insect-borne,9
251,3.17,0,17.7,6.6,18.98030507,Insect-borne,9
252,6.92,7.9,20.2,5.6,19.63719995,Insect-borne,9
253,4.83,0,21.4,13.4,15.15405941,Insect-borne,9
254,8.63,2.8,18.2,10.5,15.48083156,Insect-borne,9
255,11.08,0.5,19.5,10,14.70085967,Insect-borne,9
256,11.75,0.8,19.1,12.6,16.71826572,Insect-borne,9
257,12.75,1,19.5,10.4,18.91295403,Insect-borne,9
258,13,0.5,19.4,13.1,17.63879418,Insect-borne,9
259,20.79,0,19.5,12.7,17.86754927,Insect-borne,9
260,7.87,0,20,10.5,16.02542689,Insect-borne,9
261,4.17,0.1,18.4,5.1,17.41333199,Insect-borne,9
262,8.17,9,21.6,11.6,14.99451145,Insect-borne,9
263,4.79,9.8,17.6,11.1,14.72115044,Insect-borne,9
264,6.46,0,18.3,13.2,17.17260319,Insect-borne,9
265,4.12,0.4,20.7,4.2,18.74943955,Insect-borne,9
266,6.08,2.8,20.3,13.3,18.71483156,Insect-borne,9
267,5.91,0,16.7,5.7,19.85388984,Insect-borne,9
268,8.92,0,15.5,4.6,16.63294455,Insect-borne,9
269,12.46,1.2,16.6,12.2,14.44228303,Insect-borne,9
270,8.08,32,14.5,8.1,15.84572566,Insect-borne,9
271,9.13,6.1,14.4,10.5,14.2804191,Insect-borne,9
272,9.21,1.2,16.8,8,15.85622899,Insect-borne,9
273,10.96,0,14.8,8.5,15.83500655,Insect-borne,9
274,5.83,0.5,16,10.3,19.96978871,Insect-borne,9
275,8.71,3.4,17.7,10.4,18.25142068,Insect-borne,9
276,4.04,7.3,15.5,13.8,17.54024066,Insect-borne,9
277,3.5,4,12.7,6.6,14.44008871,Insect-borne,9
278,5.63,1.8,14.7,8.8,17.85057083,Insect-borne,9
279,12.96,3,15,11,18.72831993,Insect-borne,10
280,6.87,0.6,14.6,4.3,16.42891834,Insect-borne,10
281,10.17,1.6,15.1,6.4,16.39055394,Insect-borne,10
282,9.04,1.7,17.5,7.8,14.76014523,Insect-borne,10
283,11.75,0.9,16.6,10.4,17.44534641,Insect-borne,10
284,12.71,0.1,14.3,9,18.09665739,Insect-borne,10
285,5.58,0,15.5,2,16.06240074,Insect-borne,10
286,9.92,0,17.8,5.7,14.82633099,Insect-borne,10
287,2.96,0,15.6,8.8,16.80472243,Insect-borne,10
288,9,0,13.8,2.5,18.02235902,Insect-borne,10
289,14.58,2.2,12.2,6.5,16.41998269,Insect-borne,10
290,22.17,0,12.6,8.8,14.74071856,Insect-borne,10
291,21.84,0,12.3,6,19.83643308,Insect-borne,10
292,13.21,1.1,9.6,5.7,15.9362937,Insect-borne,10
293,12.08,0,10.7,2.5,15.57324389,Insect-borne,10
294,7.5,0.3,13.7,5,17.60756635,Insect-borne,10
295,17.58,16.7,12.6,8.4,15.27824066,Insect-borne,10
296,16.21,6.6,14.5,6,18.75626255,Insect-borne,10
297,17.96,5.6,11.5,8.2,14.33847406,Insect-borne,10
298,18.34,0.2,11.1,3.2,19.76182946,Insect-borne,10
299,9.79,0,13.3,7.4,14.77959596,Insect-borne,10
300,7.79,1.6,11.6,4.5,15.36143547,Insect-borne,10
301,9.75,0,11.7,3.7,20.59541693,Insect-borne,10
302,9.42,0,10.4,1.5,18.90705639,Insect-borne,10
303,14.88,0,12.5,5,21.33953114,Insect-borne,10
304,15.25,0.5,15.4,8.3,24.24045875,Insect-borne,10
305,13.08,0.3,15.4,7.7,23.02251117,Insect-borne,10
306,15.83,0.5,11.7,8,18.77621951,Insect-borne,10
307,11.21,0,8.2,2.2,20.31564139,Insect-borne,10
308,8.5,0,10.6,1.3,23.3334788,Insect-borne,10
309,10.79,0.4,13,3,23.42829938,Insect-borne,10
310,8.21,0,11.3,6.6,23.20591245,Insect-borne,10
311,9.29,4.1,13.2,6.6,18.28173015,Insect-borne,10
312,6.58,0,10,2.3,19.87070659,Insect-borne,10
313,8.21,0,9.5,-1,18.67170854,Insect-borne,10
314,7.71,0.3,6.1,-1.6,21.17919701,Insect-borne,10
315,12.12,0,8.6,-1.6,18.72479695,Insect-borne,10
316,13.04,0,10.5,0.8,24.36314135,Insect-borne,10
317,21.87,0,10.5,3.2,20.39659714,Insect-borne,10
318,15.71,0,9.4,8,21.21092266,Insect-borne,10
319,6,0,8.7,6.7,19.63438599,Insect-borne,10
320,2.29,0.5,8.3,6.1,22.42610972,Insect-borne,10
321,3.13,0.4,9.6,6,23.10538637,Insect-borne,10
322,9.29,0,9.6,6.1,18.29318436,Insect-borne,10
323,9.33,0,9.4,8.4,21.07643273,Insect-borne,10
324,13.04,0,9.5,8.4,18.8251973,Insect-borne,10
325,7,17.8,10.2,1.1,21.47324158,Insect-borne,10
326,9.17,0.7,12.3,1.6,23.2353604,Insect-borne,10
327,15.41,0,8.7,2.4,19.2303162,Insect-borne,10
328,16.17,0.9,10,3.3,19.17651433,Insect-borne,10
329,11.83,0,7.7,2.8,18.15302753,Insect-borne,10
330,6.34,8.6,8.1,-0.4,23.61670065,Insect-borne,10
331,5.83,1.2,6.8,0,20.81527638,Insect-borne,10
332,12.79,0.9,8.3,1.7,24.54038287,Insect-borne,10
333,15.29,12.5,12.6,3.5,20.31871249,Insect-borne,10
334,16.5,5.8,13.1,6.6,24.45202552,Insect-borne,10
335,7.25,0,5.5,4.6,18.37477907,Insect-borne,10
336,12.21,3,7.2,0.3,21.59396123,Insect-borne,10
337,7.67,3.2,7.4,-3.2,24.87304788,Insect-borne,10
338,13.79,8.4,13.1,-2.2,18.09224048,Insect-borne,10
339,17.83,0.1,5,0.7,21.14544088,Insect-borne,10
340,12.62,0,3.3,-0.4,19.68751084,Insect-borne,10
341,8.87,4.5,5.5,-5.4,19.7520218,Insect-borne,10
342,19.83,4.2,11.5,-5,24.84207559,Insect-borne,10
343,10.04,3.4,13.3,5.1,24.25386207,Insect-borne,10
344,18.84,4.6,14,5.1,23.75560241,Insect-borne,10
345,25.62,0.4,11.8,9.5,20.70099804,Insect-borne,10
346,16.83,3.3,13.4,9.1,18.93146941,Insect-borne,10
347,16.66,0.2,13.5,7.8,23.22197648,Insect-borne,10
348,9.38,0.1,12.7,-1.1,21.0278674,Insect-borne,10
349,10.71,0,13.2,-0.5,24.96969858,Insect-borne,10
350,6.92,0,11.2,7.8,18.57086554,Insect-borne,10
351,9.54,0,9,4.8,24.92607153,Insect-borne,10
352,4.79,0,4.4,-2.7,19.90790546,Insect-borne,10
353,3.54,0,2.1,-5,24.96881755,Insect-borne,10
354,3.63,0,6.1,-5.5,22.89464642,Insect-borne,10
355,4.33,0,6.2,-5,20.4555596,Insect-borne,10
356,13.59,0,6.8,-1.6,19.38602098,Insect-borne,10
357,18.12,0,5,3.8,22.3104551,Insect-borne,10
358,8.5,0,2.6,-0.5,21.98879437,Insect-borne,10
359,11.92,0,5,-2.7,19.37703396,Insect-borne,10
360,17.12,0,5,0.7,20.51346956,Insect-borne,10
361,2.92,0,3.3,-3.2,24.03553105,Insect-borne,10
362,8.96,0,3.8,-5.2,22.89845607,Insect-borne,10
363,15,0,3,-5,22.7182355,Insect-borne,10
364,17.29,0,1.7,0.1,18.22590825,Insect-borne,10
365,10.04,1.3,1.5,-11,24.91506728,Insect-borne,10
366,10.41,0,1.2,-10.7,21.27833035,Insect-borne,10
367,8.46,0,-0.1,-7.8,22.77255917,Insect-borne,10
368,4.58,0,1.8,-8.1,18.97267518,Insect-borne,10
369,5.5,0,6,-3.8,22.27512704,Insect-borne,10
370,15.29,1.8,9.1,-2.3,24.35679348,Insect-borne,10
371,8.46,2.1,11.6,4.6,19.60379304,Insect-borne,10
372,14.29,0,8.8,4.5,20.18238348,Insect-borne,10
373,17.71,6.8,10.8,6.2,23.02410338,Insect-borne,10
374,15.29,0,6.2,3.1,18.86880997,Insect-borne,10
375,14.29,4.2,12.5,1.7,24.13995025,Insect-borne,10
376,25.96,0.7,7.6,2.4,21.35793891,Insect-borne,10
377,23.54,0.1,7.6,3.2,24.90814655,Insect-borne,10
378,19.7,0,5.5,0,21.43780702,Insect-borne,10
379,12.42,0.1,8.6,0.5,23.77201471,Insect-borne,10
380,20.38,7.8,11.5,0.8,18.48522915,Insect-borne,10
381,19.75,2.7,8.1,2.6,20.74619325,Insect-borne,10
382,22.79,1,8.6,2.8,22.74378977,Insect-borne,10
383,12.46,0,8.3,1.1,20.57940608,Insect-borne,10
384,16.08,1.1,9.8,2.2,22.91244883,Insect-borne,10
385,10.29,1.1,11.1,4.2,19.27907819,Insect-borne,10
386,17.29,2.4,8.8,5.5,18.18325169,Insect-borne,10
387,23.25,0,6.2,1.8,24.93896255,Insect-borne,10
388,12.71,2.6,11.2,2.3,20.01730914,Insect-borne,10
389,17.25,1,11.7,3.3,24.75485098,Insect-borne,10
390,18.29,0,11.3,7.2,23.96362799,Insect-borne,10
391,7.41,0.9,8.7,7,22.33195853,Insect-borne,10
392,5.17,0,7.7,4.6,20.83398341,Insect-borne,10
393,3.63,0,8.2,5.6,21.79992115,Insect-borne,10
394,2.17,0,10.2,5.5,24.67385131,Insect-borne,10
395,13.33,0.3,11.1,1.1,24.32991649,Insect-borne,10
396,22.42,2,12.2,6.1,23.22323766,Insect-borne,10
397,15.71,0.3,7.4,1.6,21.90539577,Insect-borne,10
398,13.17,0.8,10,2.1,24.89487354,Insect-borne,10
399,15.96,0,10.7,3.6,21.1893007,Insect-borne,10
400,18.88,4,10.2,3.8,20.24768314,Insect-borne,10
401,15.75,0,10.7,3.3,57.92887167,Insect-borne,10
402,18.75,2.6,11.6,3.8,62.73178224,Insect-borne,10
403,25,1.1,8.5,5.5,59.38967583,Insect-borne,10
404,8.21,0.1,10,1.7,43.35795962,Insect-borne,10
405,12.08,0,11.2,1.7,55.46985938,Insect-borne,10
406,14.96,1.1,10.5,6.8,42.35249879,Insect-borne,10
407,24.41,0.4,12.4,1.7,45.03186173,Insect-borne,10
408,29.54,0.7,12.5,4.4,38.23184742,Insect-borne,10
409,15.79,2.7,6.1,2,63.47742011,Insect-borne,10
410,11.71,0,6.8,-1.1,67.38680755,Insect-borne,10
411,23.45,2.9,10.7,0.1,68.75810535,Insect-borne,10
412,28.84,0,8.8,6.3,40.03262418,Insect-borne,10
413,14.12,0,10.5,3.1,49.47225353,Insect-borne,10
414,8.29,0,9.8,3.8,56.67369054,Insect-borne,10
415,7.92,0,10.8,6.2,57.23265151,Insect-borne,10
416,1.46,0,10.6,4.8,34.13737127,Insect-borne,10
417,7.04,0,9.5,6.1,38.80023714,Insect-borne,10
418,15.29,0,6.6,2.7,34.69776639,Insect-borne,10
419,20.21,0,4,3.2,37.73992903,Insect-borne,10
420,18.12,0,5.7,2.2,40.1242747,Insect-borne,10
421,22.63,0.4,4.6,2.3,55.96805489,Insect-borne,10
422,25.62,5.4,2.7,-1,50.12323801,Insect-borne,10
423,26.87,0,3.5,-1,47.19188279,Insect-borne,10
424,13.88,5.5,3.6,-0.5,50.54621094,Insect-borne,10
425,7.96,1.1,3.5,0,38.40975482,Insect-borne,10
426,9.59,0.5,5.5,0.1,45.3733757,Insect-borne,10
427,6.71,5,1,-6,49.4421345,Insect-borne,10
428,5.33,0,3.3,-7.4,34.13307843,Insect-borne,10
429,5.79,0,6.1,-6.2,35.42910045,Insect-borne,10
430,8,0,6.1,-6.6,46.68746847,Insect-borne,10
431,29.58,2.7,5.5,-1.2,41.69617915,Insect-borne,10
432,18,13.9,6.2,1.2,57.97429171,Insect-borne,10
433,9,6,9.2,2.7,67.07780816,Insect-borne,10
434,3.83,7.7,8.3,5.8,46.48714759,Insect-borne,10
435,10.92,2.7,5.5,4.5,39.04468913,Insect-borne,10
436,7.71,0,6.1,3.1,34.51086611,Insect-borne,10
437,6.83,0,5.7,-2.7,37.57792132,Insect-borne,10
438,4,0,5.4,-3.8,32.24914235,Insect-borne,10
439,16.54,3,5.6,0.2,36.82639309,Insect-borne,10
440,12.58,0,6.1,1.7,30.98685456,Insect-borne,10
441,7.71,0,7.2,3.5,30.40046769,Insect-borne,10
442,5.79,0,11.6,-4.2,35.72032498,Insect-borne,10
443,9.04,0,6.7,-0.5,47.52980027,Insect-borne,10
444,7.67,0,9.4,-1.6,52.10010827,Insect-borne,10
445,6.71,0,6.5,2.2,34.80541039,Insect-borne,10
446,5.96,0.5,9.3,-1.5,47.19847683,Insect-borne,10
